tumor_suppressor_genes,oncogenes,protein_kinases,cell_differentiation_markers,transcription_factors,cytokines_and_growth_factors
cg13547381,cg09192898,cg16067628,cg16474647,cg06697439,cg03880509
cg05124575,cg02881795,cg24924502,cg15132055,cg20069738,cg23826582
cg12449040,cg00670339,cg08380391,cg02121517,cg07613693,cg15025383
cg13014422,cg10316922,cg17517390,cg23770142,cg27052428,cg03702435
cg11367841,cg16733756,cg11236755,cg05861743,cg03869194,cg02075405
cg24419099,cg08891096,cg23535449,cg14341418,cg17364234,cg25827881
cg14181223,cg00359911,cg24688837,cg08110861,cg14212467,cg15553408
cg07531121,cg15488251,cg02004044,cg25669504,cg07730715,cg24926370
cg05848811,cg04243181,cg13466409,cg25455724,cg11457695,cg27245606
cg12565914,cg17880199,cg14312860,cg06241300,cg16166399,cg23351030
cg16801267,cg00425764,cg06310712,cg17634401,cg26634707,cg10196103
cg05038053,cg09457490,cg02182592,cg04528801,cg14128154,cg01106410
cg16526445,cg05426160,cg24545728,cg06495310,cg06638023,cg13150632
cg22207207,cg01281601,cg17975663,cg04794465,cg12271800,cg12234287
cg23102483,cg09284275,cg24085713,cg22944934,cg10598434,cg14208573
cg20969221,cg16774528,cg26068527,cg04536765,cg01967510,cg19818722
cg18843836,cg08189198,cg11600078,cg26398341,cg17391518,cg11930820
cg11366131,cg16449219,cg23295826,cg13770361,cg10678908,cg26311932
cg15500466,cg20033652,cg06869212,cg14756795,cg21517584,cg24479522
cg13749927,cg03048432,cg06807993,cg16598405,cg01592687,cg26724726
cg14189304,cg16435627,cg18637486,cg02866733,cg18521743,cg06526741
cg26408937,cg18459806,cg26766064,cg05813703,cg25458175,cg19279042
cg01677148,cg20969923,cg02317955,cg01806025,cg13539205,cg13335388
cg01667133,cg11087049,cg18609037,cg17797875,cg19469742,cg02249390
cg04915425,cg10169539,cg04935521,cg07588102,cg04676627,cg06887580
cg22081008,cg06015203,cg09591867,cg09900585,cg23036025,cg18384277
cg19486271,cg21012729,cg08317891,cg26114655,cg18495710,cg18656170
cg15377731,cg07515865,cg02113284,cg20640177,cg16107172,cg23509869
cg10938684,cg24361212,cg23499929,cg25921418,cg07726085,cg16795830
cg14208613,cg03161075,cg15761799,cg04512050,cg19819595,cg04836028
cg00724111,cg10083996,cg22497856,cg05649229,cg23533824,cg09531959
cg24779587,cg15484244,cg03709925,cg09867157,cg05983698,cg27616007
cg08300419,cg08572565,cg17279079,cg27091233,cg09364328,cg14324675
cg16541628,cg01708014,cg13781408,cg02133786,cg07061692,cg19271190
cg15026026,cg25597366,cg05292376,cg16500605,cg23478354,cg03739609
cg15512352,cg19590421,cg04105716,cg04232624,cg22309518,cg16167809
cg13734410,cg13153329,cg25508376,cg18892239,cg15166898,cg25664715
cg25462903,cg05406637,cg02460935,cg26710858,cg10642948,cg23254538
cg09147846,cg26274621,cg06971227,cg01735191,cg19776201,cg27490128
cg15213689,cg17352004,cg03809847,cg04477291,cg12042659,cg12573002
cg23433285,cg01270593,cg11873161,cg12259593,cg03735888,cg23484380
cg03493547,cg07628705,cg23532322,cg03119031,cg13877915,cg08610982
cg12726298,cg26993848,cg09859805,cg20938572,cg00547077,cg15311651
cg00353006,cg13335112,cg01158079,cg12561839,cg24366702,cg27238866
cg18874060,cg21052932,cg08039592,cg17619093,cg00868383,cg12753631
cg10461088,cg26239297,cg20441606,cg25519587,cg07878486,cg14694191
cg04444006,cg25134134,cg27551910,cg20847496,cg11618529,cg24211388
cg22015966,cg02324789,cg01066451,cg19444690,cg16929496,cg01674119
cg21732842,cg11190278,cg06174144,cg10628782,cg03043130,cg21440587
cg06035754,cg00892255,cg04242349,cg26721619,cg14745451,cg19563932
cg18809522,cg19489804,cg27343663,cg12775877,cg01023593,cg18113826
cg17891278,cg17850367,cg24171594,cg17615061,cg25809066,cg04812347
cg23310813,cg18825419,cg09347306,cg05871781,cg18787736,cg12674490
cg27601855,cg03808459,cg08680239,cg07449105,cg13576178,cg00811535
cg16733769,cg17918201,cg12189382,cg08885659,cg05500574,cg13690543
cg25578250,cg20151668,cg26764764,cg03243497,cg11952622,cg07387607
cg23072973,cg20318353,cg13563094,cg22095584,cg26874164,cg19400055
cg22801913,cg23087130,cg19170021,cg17006042,cg01436486,cg08413657
cg07438103,cg26695125,cg23476745,cg14526732,cg14676443,cg21433105
cg03273183,cg19945092,cg02533364,cg12435665,cg11415152,cg01349370
cg22936253,cg03625292,cg01276536,cg03098515,cg00825309,cg00141143
cg13632959,cg10311020,cg26174768,cg25145715,cg03333757,cg03625897
cg10715637,cg13449356,cg18447950,cg12201929,cg18786995,cg04762213
cg03520966,cg21195763,cg05640361,cg26083836,cg19649173,cg18685724
cg19573567,cg14483856,cg09450771,cg11678773,cg19862109,cg10287187
cg03158499,cg21156057,cg16381019,cg11852080,cg04824595,cg26506725
cg05358439,cg20174000,cg27022584,cg04456228,cg17139983,cg14801418
cg27008694,cg13611989,cg03076037,cg10499926,cg11806389,cg27559893
cg24417391,cg11464064,cg14611816,cg05407396,cg22822383,cg15574924
cg21565150,cg03494795,cg08658895,cg01255465,cg02891574,cg11203714
cg25212351,cg14578355,cg07782795,cg03689048,cg24465855,cg11028563
cg03387256,cg10288784,cg17476649,cg07467062,cg27223945,cg00716752
cg03672854,cg14102055,cg12351749,cg14661811,cg14122616,cg02531797
cg26461637,cg13509765,cg07759857,cg05053818,cg24124365,cg09276739
cg14538439,cg02915920,cg06307943,cg07930207,cg15747884,cg23207361
cg17120764,cg08951958,cg01780984,cg20029156,cg15820160,cg22017797
cg16257983,cg14270612,cg02080909,cg27000659,cg23473726,cg15081882
cg19398115,cg13672863,cg20707786,cg26804733,cg08693600,cg10140190
cg26478401,cg13938702,cg19423081,cg08899215,cg11765560,cg20193104
cg15950761,cg14142977,cg05369926,cg02717251,cg08703520,cg18756579
cg15940800,cg10803013,cg12349181,cg24890294,cg16198095,cg22750384
cg26479099,cg13847987,cg18173351,cg11378740,cg24694913,cg25109908
cg19015961,cg13803765,cg03060228,cg07505014,cg10383999,cg03658282
cg07216529,cg20511797,cg05046936,cg16105996,cg09437909,cg24903176
cg03221266,cg14270890,cg11176256,cg09990454,cg18759680,cg15765212
cg09990481,cg14119680,cg01976960,cg20532376,cg13653830,cg14943908
cg03755566,cg13406593,cg12097330,cg13267891,cg26978288,cg17478749
cg19335412,cg13397898,cg02026049,cg18794364,cg22920418,cg02054431
cg07042289,cg03924115,cg24524403,cg21046954,cg19041593,cg17599748
cg17530152,cg01000188,cg19460836,cg03111394,cg06830426,cg10703453
cg26404226,cg03900284,cg25043129,cg11787126,cg08216447,cg23351738
cg07196383,cg15895268,cg06710464,cg12100881,cg19223106,cg16932560
cg18820063,cg03471346,cg16831331,cg26429508,cg23002097,cg11643442
cg19207017,cg22335155,cg26109145,cg18663859,cg21948605,cg08484337
cg05141578,cg07172339,cg14851204,cg16171137,cg03559043,cg06023161
cg05096777,cg11243304,cg14948086,cg16175906,cg05333564,cg16291917
cg26332985,cg00852924,cg02064366,cg14474158,cg03718488,cg18305324
cg21381511,cg17591574,cg03708925,cg13873889,cg10402626,cg07708721
cg15109571,cg21265278,cg06582663,cg10632955,cg01623256,cg13704497
cg10488141,cg07949165,cg11543393,cg25420482,cg13719843,cg18020072
cg16679084,cg03427171,cg00146249,cg24071200,cg11701312,cg08500171
cg10817301,cg02709261,cg17528240,cg21053741,cg19378149,cg00774102
cg09256136,cg09807229,cg00464773,cg21587837,cg02875240,cg04397817
cg11453585,cg19697085,cg19159404,cg19997861,cg18775767,cg25516853
cg09135741,cg14853922,cg11698647,cg06667961,cg00869285,cg04257745
cg07466585,cg13676787,cg10063663,cg06393830,cg18538297,cg10618221
cg07636870,cg22544342,cg19176696,cg04859102,cg24469289,cg07825007
cg06480592,cg18153213,cg21554771,cg24504194,cg14307922,cg27244082
cg17840164,cg27403822,cg14910406,cg16224951,cg17740632,cg13465723
cg09888137,cg07824564,cg00557069,cg09037630,cg25366139,cg02444305
cg16006015,cg07923746,cg14091223,cg15852826,cg25617675,cg02700447
cg19269027,cg03743605,cg22980611,cg06632549,cg24921794,cg08961072
cg14885145,cg27517652,cg07782901,cg14166520,cg21809744,cg14070867
cg26477793,cg04844495,cg18797053,cg20330447,cg08084812,cg03399814
cg04738270,cg06057398,cg26346032,cg10995925,cg03781262,cg16983152
cg15219811,cg19440035,cg03465285,cg14441276,cg02384543,cg00107914
cg00122347,cg19598519,cg13388731,cg14437551,cg24052338,cg23905524
cg23322172,cg12999109,cg03922748,cg14597739,cg02749105,cg10489928
cg04617428,cg25221254,cg05792884,cg16219283,cg09594291,cg26805346
cg25117362,cg15716042,cg26258152,cg21999229,cg22946557,cg10002888
cg12047722,cg18889393,cg21445204,cg17169196,cg13691442,cg13260377
cg18918484,cg03032443,cg22385231,cg02402436,cg11414505,cg21834739
cg03417317,cg21450318,cg22129906,cg09736959,cg09573809,cg17009731
cg22738278,cg23084309,cg18013012,cg24216966,cg14989522,cg20826416
cg14568384,cg17973462,cg09197965,cg11586857,cg04405538,cg22863628
cg11349991,cg07712243,cg00496455,cg10476003,cg04776910,cg08744878
cg12290779,cg24030864,cg12309957,cg01157951,cg03524445,cg18798086
cg01275830,cg26838345,cg02315249,cg22318806,cg05644518,cg11360931
cg19694241,cg02987482,cg00476358,cg13815684,cg11278260,cg23170237
cg04703950,cg27138059,cg23369371,cg17709873,cg22591384,cg19400739
cg19018709,cg06633438,cg01693157,cg16280132,cg03626579,cg27099493
cg02507296,cg16466652,cg08640923,cg03599224,cg08504662,cg15449023
cg15541611,cg00766482,cg23108728,cg21240855,cg05317207,cg13961425
cg02040734,cg24800754,cg19074496,cg14910524,cg10162823,cg21464591
cg06443918,cg25759533,cg16725050,cg27531490,cg07739758,cg15653559
cg18159463,cg03146377,cg08378442,cg24452282,cg17498272,cg09365542
cg10224216,cg07056645,cg08396863,cg11484872,cg04269689,cg10667484
cg26845430,cg25825726,cg05001691,cg21370522,cg22568540,cg20760427
cg10420150,cg16208863,cg13315450,cg01569083,cg22889142,cg25965888
cg18352710,cg22985929,cg08098128,cg03037030,cg12461677,cg20369513
cg15293582,cg03110787,cg10862587,cg12681001,cg08389151,cg23667405
cg02374486,cg13522114,cg15983357,cg21222743,cg25623524,cg08394355
cg12433559,cg11702503,cg08025512,cg10717214,cg03630821,cg19752083
cg23364656,cg11019790,cg14909250,cg04425624,cg14222245,cg23426633
cg23059461,cg01969558,cg18338495,cg21467614,cg11001216,cg25157615
cg12336290,cg17286157,cg26292241,cg08553327,cg10734734,cg01950810
cg19880751,cg00921819,cg02240226,cg26729380,cg22286978,cg12732864
cg20408402,cg03099291,cg14793891,cg10650821,cg03123289,cg20584712
cg09914304,cg08464674,cg04552737,cg17741993,cg27481534,cg05182583
cg13775629,cg14835062,cg09715285,cg01360627,cg22553722,cg02814864
cg22900360,cg20863756,cg20314884,cg23384708,cg21304757,cg23181413
cg05983405,cg23738734,cg01072786,cg20477259,cg02400474,cg19498147
cg02937751,cg12376068,cg25308242,cg15989608,cg01588901,cg00408224
cg26971585,cg00238770,cg00209893,cg26736341,cg13389213,cg13267247
cg02909929,cg19496587,cg06334988,cg04472685,cg21468511,cg09313188
cg27368828,cg12051956,cg11117896,cg19124225,cg25041148,cg05233877
cg17566718,cg23727813,cg23235291,cg02137984,cg22255355,cg23318990
cg14260169,cg16495940,cg04733530,cg06825478,cg09317632,cg19701014
cg16541444,cg00353953,cg00681662,cg17755321,cg17303711,cg20887391
cg22643110,cg17308286,cg10545083,cg14306709,cg02801453,cg25626453
cg24812143,cg27309920,cg10634964,cg24540603,cg01648131,cg11154666
cg24775327,cg00429477,cg10185638,cg23204396,cg08337420,cg03691635
cg17239876,cg11303425,cg17765480,cg00900444,cg21962426,cg15685889
cg20648333,cg23705119,cg03546879,cg02104962,cg21590827,cg22954787
cg25256493,cg22370296,cg16329901,cg14868222,cg21506045,cg25371129
cg14683490,cg16089935,cg03461495,cg00731683,cg11968813,cg18695778
cg26230851,cg26987551,cg23558158,cg21029447,cg25479254,cg02572517
cg16172549,cg23893906,cg17087759,cg15804767,cg24880025,cg15225418
cg01794501,cg01856985,cg01697972,cg03880509,cg02854064,cg04419856
cg07369190,cg14101604,cg01866897,cg23826582,cg25524108,cg05292460
cg11912330,cg04241722,cg26915351,cg15025383,cg18778965,cg26394227
cg27223727,cg24105280,cg26784162,cg03702435,cg24801244,cg02174486
cg10775792,cg04356180,cg13603203,cg02075405,cg15032393,cg03217090
cg01425967,cg05712073,cg07067280,cg25827881,cg17130812,cg25515481
cg16702725,cg13661623,cg00537910,cg15553408,cg17101553,cg22538505
cg22364452,cg15731152,cg06716437,cg24926370,cg15245120,cg13514037
cg23052863,cg02499737,cg23153680,cg27245606,cg20667230,cg03134653
cg01656970,cg03930474,cg26544277,cg23351030,cg19518132,cg00887255
cg12486814,cg04375284,cg07920064,cg10196103,cg21988233,cg10851350
cg19662687,cg12392916,cg07100128,cg01106410,cg23548487,cg19673418
cg04311699,cg23354319,cg18014247,cg13150632,cg18281016,cg18712755
cg17496230,cg00369908,cg08290072,cg12234287,cg07122126,cg01282751
cg00576014,cg27116036,cg24775454,cg14208573,cg20622311,cg10683435
cg11221265,cg00591160,cg27486695,cg19818722,cg14204064,cg00180097
cg01931502,cg18123790,cg23547073,cg11930820,cg05960240,cg08367659
cg12036621,cg26923428,cg19412109,cg26311932,cg08291996,cg04173139
cg09686639,cg24494338,cg00719108,cg24479522,cg22553722,cg22503047
cg02620307,cg00014837,cg02776283,cg26724726,cg21304757,cg14722070
cg02656741,cg23983517,cg06753787,cg06526741,cg02400474,cg13478588
cg15152945,cg12007596,cg17109049,cg19279042,cg01588901,cg15600966
cg08716396,cg07694975,cg13270464,cg13335388,cg13389213,cg19880646
cg11744295,cg10282807,cg19355685,cg02249390,cg21468511,cg07827717
cg13788685,cg12216208,cg02322376,cg06887580,cg25041148,cg25343331
cg11214962,cg25683185,cg14345026,cg18384277,cg22255355,cg12484352
cg00101227,cg12895370,cg15278948,cg18656170,cg09317632,cg16793622
cg00259886,cg24392132,cg10202994,cg23509869,cg17303711,cg25661358
cg10431340,cg19345219,cg10340033,cg16795830,cg02801453,cg15497818
cg13210580,cg06588028,cg06866103,cg04836028,cg01648131,cg25823710
cg10896862,cg05924780,cg04181401,cg09531959,cg08337420,cg10369594
cg00339687,cg18951718,cg23200675,cg27616007,cg21962426,cg16278747
cg02954704,cg25655096,cg03878190,cg14324675,cg21590827,cg14308867
cg25597117,cg15464148,cg01087977,cg19271190,cg21506045,cg08677954
cg19570749,cg00470817,cg25710753,cg03739609,cg11968813,cg21982924
cg04317940,cg25883083,cg03398156,cg16167809,cg25479254,cg08596308
cg12997166,cg10474005,cg00672332,cg25664715,cg24880025,cg22369037
cg12502785,cg18123037,cg00743991,cg23254538,cg02854064,cg10271061
cg18490802,cg15974062,cg23869335,cg27490128,cg25524108,cg20248972
cg11684826,cg26509722,cg24411913,cg12573002,cg18778965,cg00585846
cg07928709,cg21120478,cg10225197,cg23484380,cg16701749,cg23154743
cg12377483,cg26689792,cg18887961,cg08610982,cg18251449,cg00002930
cg04709302,cg00694371,cg25569248,cg15311651,cg08095654,cg02030913
cg10488292,cg27102295,cg23367089,cg27238866,cg05641656,cg23249667
cg23654597,cg18844850,cg12732365,cg12753631,cg20285546,cg09739890
cg19539385,cg08627847,cg03545227,cg14694191,cg04752716,cg15649774
cg24776411,cg22367466,cg20176194,cg24211388,cg01586682,cg13074835
cg03249950,cg15251539,cg06971096,cg01674119,cg26263766,cg21996586
cg01104423,cg16885734,cg16166796,cg21440587,cg21994576,cg20510213
cg21894058,cg15935257,cg10140638,cg19563932,cg21020710,cg26309244
cg11725689,cg09915978,cg03970036,cg18113826,cg11279918,cg09630051
cg25678015,cg26645069,cg01382864,cg04812347,cg00683895,cg14642291
cg12449483,cg20642765,cg20671534,cg12674490,cg01859739,cg10798764
cg01397661,cg20029003,cg07623221,cg00811535,cg16187092,cg04016730
cg18840151,cg03251615,cg12547085,cg13690543,cg21155461,cg10218472
cg04106584,cg23255995,cg13224213,cg07387607,cg21747958,cg16268563
cg06666486,cg12878555,cg19475224,cg19400055,cg04352026,cg26478079
cg24533720,cg19744039,cg08607625,cg08413657,cg08397273,cg14136042
cg17570276,cg02049522,cg17690263,cg21433105,cg10051935,cg00438026
cg00564916,cg22823800,cg17429236,cg01349370,cg14386312,cg23191370
cg14211075,cg25922808,cg21932452,cg00141143,cg24801244,cg16444909
cg14564332,cg23311549,cg00478390,cg03625897,cg15032393,cg16806077
cg14322570,cg11708118,cg21901847,cg04762213,cg17130812,cg02358755
cg14283140,cg14594481,cg20498962,cg18685724,cg17101553,cg04277232
cg13869648,cg09430705,cg10501602,cg10287187,cg15245120,cg00023321
cg03382797,cg11505240,cg26168651,cg26506725,cg20667230,cg23165226
cg04648087,cg08976060,cg00700487,cg14801418,cg19518132,cg27611005
cg07738800,cg11653107,cg07841866,cg27559893,cg21988233,cg21079591
cg14350545,cg27555761,cg24032393,cg15574924,cg23548487,cg03031988
cg14061503,cg23325384,cg00571021,cg11203714,cg18281016,cg26764200
cg19393006,cg03954616,cg03469471,cg11028563,cg07122126,cg21699509
cg13767625,cg01233736,cg05337454,cg00716752,cg20622311,cg13156044
cg14457284,cg22111003,cg25136644,cg02531797,cg14204064,cg19740491
cg05001389,cg17492904,cg00448659,cg09276739,cg05960240,cg04136480
cg13899420,cg08726005,cg15183092,cg23207361,cg08291996,cg09230467
cg00629585,cg19738182,cg09519327,cg22017797,cg18778965,cg10951305
cg01909921,cg04192580,cg02027878,cg15081882,cg00647741,cg03357730
cg14293223,cg08147886,cg25025646,cg10140190,cg22356268,cg00853714
cg20143773,cg07604043,cg01068407,cg20193104,cg11335411,cg17489752
cg14475859,cg14157824,cg05073130,cg18756579,cg04684267,cg19234301
cg12658925,cg22175006,cg18583378,cg22750384,cg09316894,cg01138972
cg13853035,cg22909085,cg27594583,cg25109908,cg12978575,cg18821320
cg20918218,cg25947773,cg00871390,cg03658282,cg13227697,cg25984249
cg11963280,cg03040554,cg00917003,cg24903176,cg10770529,cg00124488
cg14343107,cg14685946,cg25337691,cg15765212,cg00716294,cg12244756
cg04887414,cg10146146,cg04994447,cg14943908,cg23960632,cg11305058
cg24451981,cg20704330,cg01081096,cg17478749,cg00479990,cg14159895
cg11331988,cg17566874,cg12229082,cg02054431,cg14239592,cg14182431
cg05289639,cg02196805,cg22226532,cg17599748,cg07815836,cg04431990
cg27329848,cg08686879,cg18541211,cg10703453,cg00298065,cg16981259
cg21893314,cg26369418,cg20456055,cg23351738,cg19416570,cg00916439
cg03763391,cg02325250,cg20798412,cg16932560,cg26698460,cg02000145
cg20259534,cg08324925,cg05429359,cg11643442,cg22720790,cg11671290
cg27380503,cg13259290,cg02615599,cg08484337,cg03099728,cg14373189
cg24221715,cg16465129,cg15447715,cg06023161,cg07544356,cg26696685
cg24584161,cg16565692,cg07222181,cg16291917,cg17407435,cg21024122
cg04774722,cg22788465,cg12500498,cg18305324,cg16701749,cg24294399
cg25653839,cg17600233,cg03428881,cg07708721,cg18251449,cg04211275
cg06926377,cg17983064,cg01166674,cg13704497,cg08095654,cg04755523
cg05125875,cg00771722,cg13396382,cg18020072,cg05641656,cg24631162
