gene_id,mean,median,gene_name,chromosome_name,genomic_strand,TSS,split
ENSG00000005073,0.09718,0.01105,HOXA11,7,-,27185223,train
ENSG00000005075,13.583888695652172,13.27025,POLR2J,7,-,102478895,train
ENSG00000005100,4.237753478260869,3.9188,DHX33,17,-,5468951,train
ENSG00000005102,0.4422330434782609,0.29575,MEOX1,17,-,43661915,train
ENSG00000005108,2.54297,1.9008,THSD7A,7,-,11832189,train
ENSG00000005156,4.990530000000001,4.7824,LIG3,17,+,34980484,train
ENSG00000005175,6.816437391304348,6.2578,RPAP3,12,-,47705990,train
ENSG00000005187,2.65957652173913,1.9555,ACSM3,16,+,20763990,train
ENSG00000005189,1.8451052173913045,1.64835,REXO5,16,+,20806527,train
ENSG00000005194,10.383849130434784,9.81065,CIAPIN1,16,-,57447371,train
ENSG00000005206,3.465464782608696,3.3885,SPPL2B,19,+,2328664,train
ENSG00000005238,3.697369130434783,3.48445,ATOSB,9,-,35115862,train
ENSG00000005243,4.902294782608695,4.6164000000000005,COPZ2,17,-,48037760,train
ENSG00000005249,3.3885360869565218,2.81275,PRKAR2B,7,+,107044688,train
ENSG00000005302,4.206690434782609,3.9803,MSL3,X,+,11758197,train
ENSG00000005339,9.053379130434784,8.54835,CREBBP,16,-,3880680,train
ENSG00000005379,2.6562104347826088,2.4111,TSPOAP1,17,-,58305388,train
ENSG00000005381,0.1417304347826087,0.1089499999999999,MPO,17,-,58280926,train
ENSG00000005421,1.607065217391304,1.1717,PON1,7,-,95396349,train
ENSG00000005436,4.860718260869565,4.6967,GCFC2,2,-,75710868,train
ENSG00000005448,3.831572173913044,3.47165,WDR54,2,+,74421721,train
ENSG00000005469,4.254822608695652,3.96765,CROT,7,+,87345658,train
ENSG00000005471,0.7801613043478262,0.4641,ABCB4,7,-,87475647,train
ENSG00000005483,17.477725217391303,16.8635,KMT2E,7,+,105014205,train
ENSG00000005486,20.286308260869564,19.2424,RHBDD2,7,+,75879023,train
ENSG00000005513,0.2158008695652173,0.1091999999999999,SOX8,16,+,981762,train
ENSG00000005700,16.690317391304347,15.8298,IBTK,6,-,82247716,train
ENSG00000005801,4.974371304347826,4.69055,ZNF195,11,-,3379110,train
ENSG00000005810,19.091515217391304,18.49735,MYCBP2,13,-,77327050,train
ENSG00000005812,6.69940304347826,6.62655,FBXL3,13,-,77027147,train
ENSG00000005844,3.606770869565217,3.0739,ITGAL,16,+,30472733,train
ENSG00000005882,2.346688260869565,2.18305,PDK2,17,+,50095331,train
ENSG00000005884,41.61790347826087,34.051550000000006,ITGA3,17,+,50056095,train
ENSG00000005889,11.141609565217392,9.94215,ZFX,X,+,24149711,train
ENSG00000005893,27.495446956521736,24.29925,LAMP2,X,-,120469283,train
ENSG00000005961,0.3190121739130435,0.21275,ITGA2B,17,-,44389496,train
ENSG00000005981,0.6249843478260869,0.24735,ASB4,7,+,95485934,train
ENSG00000006007,23.968938260869564,20.62965,GDE1,16,-,19522082,train
ENSG00000006015,5.453609130434782,5.036149999999999,REX1BD,19,+,18588798,valid
ENSG00000006016,17.462794782608697,2.248,CRLF1,19,-,18606779,test
ENSG00000006025,3.75170347826087,3.2825,OSBPL7,17,-,47821760,train
ENSG00000006042,10.08425304347826,8.516549999999999,TMEM98,17,+,32928147,train
ENSG00000006047,0.6166595652173911,0.2684999999999999,YBX2,17,-,7294592,train
ENSG00000006059,0.0095147826086956,0.0,KRT33A,17,-,41350824,train
ENSG00000006062,3.401184347826087,3.0331,MAP3K14,17,-,45317006,train
ENSG00000006071,0.1393430434782608,0.04505,ABCC8,11,-,17476801,train
ENSG00000006116,0.003955652173913,0.0,CACNG3,16,+,24256351,train
ENSG00000006118,4.455437391304347,3.62315,TMEM132A,11,+,60924452,train
ENSG00000006125,37.63221130434783,35.75405000000001,AP2B1,17,+,35587257,train
ENSG00000006128,0.4273630434782609,0.01445,TAC1,7,+,97732076,train
ENSG00000006194,7.399163913043478,7.03495,ZNF263,16,+,3283443,train
ENSG00000006210,7.178480434782608,5.69125,CX3CL1,16,+,57372481,train
ENSG00000006282,12.62783956521739,12.0056,SPATA20,17,+,50547149,train
ENSG00000006283,0.120085652173913,0.06715,CACNA1G,17,+,50560707,train
ENSG00000006327,32.13579043478261,28.30785,TNFRSF12A,16,+,3020355,train
ENSG00000006377,0.1777791304347826,0.0238,DLX6,7,+,97005866,train
ENSG00000006432,5.074777826086956,4.3952,MAP3K9,14,-,70809494,train
ENSG00000006451,15.00431956521739,14.1906,RALA,7,+,39623547,valid
ENSG00000006453,12.544418260869564,12.1011,BAIAP2L1,7,-,98401048,train
ENSG00000006459,14.030619565217393,13.4002,KDM7A,7,-,140092141,train
ENSG00000006468,6.929007391304348,5.16055,ETV1,7,-,13989658,train
ENSG00000006530,4.684088695652174,4.4918,AGK,7,+,141551377,train
ENSG00000006534,9.847113478260868,7.55115,ALDH3B1,11,+,68010281,train
ENSG00000006555,2.4058760869565217,2.15705,TTC22,1,-,54801289,train
ENSG00000006576,7.010654782608696,6.84585,PHTF2,7,+,77798832,train
ENSG00000006606,0.5995547826086957,0.39365,CCL26,7,-,75772195,train
ENSG00000006607,5.1445543478260864,4.975,FARP2,2,+,241356278,train
ENSG00000006611,0.945707391304348,0.0635,USH1C,11,-,17544360,train
ENSG00000006625,16.012095652173915,13.1391,GGCT,7,-,30504789,train
ENSG00000006634,4.05732347826087,3.44545,DBF4,7,+,87876472,train
ENSG00000006638,0.3349708695652173,0.27825,TBXA2R,19,-,3606849,test
ENSG00000006652,2.9845065217391307,2.7854,IFRD1,7,+,112450448,train
ENSG00000006659,0.0117026086956521,0.0,LGALS14,19,+,39704461,train
ENSG00000006695,2.4085004347826087,2.30535,COX10,17,+,14069490,train
ENSG00000006704,5.0402578260869575,4.7195,GTF2IRD1,7,+,74453890,valid
ENSG00000006712,14.548279130434782,13.69185,PAF1,19,-,39391029,valid
ENSG00000006715,20.891448695652173,19.5327,VPS41,7,-,38909180,train
ENSG00000006740,2.3165930434782607,2.0203,ARHGAP44,17,+,12789457,train
ENSG00000006744,8.76085043478261,8.4148,ELAC2,17,-,13017953,valid
ENSG00000006747,5.278491739130434,2.91645,SCIN,7,+,12570712,train
ENSG00000006756,17.147261739130432,14.98965,ARSD,X,-,2929325,train
ENSG00000006757,3.1695408695652176,2.85905,PNPLA4,X,-,7927378,train
ENSG00000006788,0.127511304347826,0.0821,MYH13,17,-,10373002,valid
ENSG00000006831,13.401965217391304,12.15505,ADIPOR2,12,+,1691013,train
ENSG00000006837,0.4554282608695651,0.42255,CDKL3,5,-,134371023,train
ENSG00000007001,0.3329439130434782,0.21805,UPP2,2,+,158101866,train
ENSG00000007038,1.5893008695652175,0.4311,PRSS21,16,+,2817230,train
ENSG00000007047,2.5327930434782604,2.3786500000000004,MARK4,19,+,45251247,train
ENSG00000007062,5.302032608695652,1.56835,PROM1,4,-,16084002,train
ENSG00000007080,9.643858260869568,8.849599999999999,CCDC124,19,+,17933001,train
ENSG00000007129,1.5070747826086957,1.27275,CEACAM21,19,+,41549511,test
ENSG00000007168,12.911225217391303,12.5789,PAFAH1B1,17,+,2593628,train
ENSG00000007171,0.2776795652173913,0.2042999999999999,NOS2,17,-,27800524,train
ENSG00000007174,0.8174760869565217,0.2671,DNAH9,17,+,11598456,train
ENSG00000007202,26.367181739130437,25.0788,BLTP2,17,-,28616934,train
ENSG00000007216,0.986194782608696,0.05705,SLC13A2,17,+,28473630,train
ENSG00000007237,5.0918030434782615,4.84745,GAS7,17,-,10026264,train
ENSG00000007255,12.430955652173912,10.95765,TRAPPC6A,19,-,45178224,train
ENSG00000007264,0.9208695652173912,0.8382499999999999,MATK,19,-,3786255,train
ENSG00000007306,1.2776060869565218,0.2859,CEACAM7,19,-,41688260,valid
ENSG00000007312,1.5975004347826087,1.13165,CD79B,17,-,63932307,test
ENSG00000007314,0.2658917391304348,0.0548499999999999,SCN4A,17,-,63972903,train
ENSG00000007341,2.7680017391304346,2.74885,ST7L,1,-,112619108,train
ENSG00000007350,1.1416569565217394,0.02815,TKTL1,X,+,154295788,train
ENSG00000007372,0.0261882608695652,0.0071,PAX6,11,-,31811110,valid
ENSG00000007376,5.751368695652174,5.3428,RPUSD1,16,-,788330,train
ENSG00000007384,8.04435304347826,7.54285,RHBDF1,16,-,72621,train
ENSG00000007392,12.90230739130435,12.46375,LUC7L,16,-,229406,train
ENSG00000007402,6.441811304347826,3.2851,CACNA2D2,3,-,50503626,valid
ENSG00000007516,2.3196182608695657,1.71365,BAIAP3,16,+,1333631,train
ENSG00000007520,14.95453652173913,14.06695,TSR3,16,-,1351473,valid
ENSG00000007541,3.7183508695652177,3.5253,PIGQ,16,+,569931,train
ENSG00000007545,1.825040434782609,1.7323,CRAMP1,16,+,1612337,train
ENSG00000007866,8.963257391304348,8.55925,TEAD3,6,-,35497040,train
ENSG00000007908,1.185197391304348,0.5515,SELE,1,-,169734072,train
ENSG00000007923,6.819300869565216,6.6399,DNAJC11,1,-,6701795,train
ENSG00000007933,5.294503913043479,3.961,FMO3,1,+,171090892,train
ENSG00000007944,17.020431304347827,15.70305,MYLIP,6,+,16129077,train
ENSG00000007952,0.6106930434782607,0.4341,NOX1,X,-,100874294,train
ENSG00000007968,1.28439,1.0317500000000002,E2F2,1,-,23531206,valid
ENSG00000008018,44.193968260869575,42.74015,PSMB1,6,-,170553234,train
ENSG00000008056,0.1061339130434782,0.07235,SYN1,X,-,47619847,train
ENSG00000008083,7.667470434782609,7.2979,JARID2,6,+,15246030,train
ENSG00000008086,3.1155139130434786,2.8743,CDKL5,X,+,18425597,train
ENSG00000008118,0.4889573913043479,0.4011,CAMK1G,1,+,209583706,valid
ENSG00000008128,0.3296647826086957,0.32305,CDK11A,1,-,1724284,train
ENSG00000008130,12.48367043478261,11.9008,NADK,1,-,1778406,train
ENSG00000008196,0.1098726086956521,0.0047,TFAP2B,6,+,50818878,train
ENSG00000008197,0.8304578260869565,0.06025,TFAP2D,6,+,50713811,train
ENSG00000008226,1.1071404347826088,0.8987,DLEC1,3,+,38039200,train
ENSG00000008256,11.828714347826088,9.243,CYTH3,7,-,6272575,train
ENSG00000008277,1.2142165217391303,1.067,ADAM22,7,+,87934242,train
ENSG00000008282,26.574489565217387,25.24845,SYPL1,7,-,106112205,train
ENSG00000008283,19.807580434782608,18.71915,CYB561,17,-,63446261,train
ENSG00000008294,27.730416086956524,24.86365,SPAG9,17,-,51120855,valid
ENSG00000008300,1.687183913043478,0.98845,CELSR3,3,-,48662877,train
ENSG00000008311,11.782183043478264,10.6812,AASS,7,-,122144231,train
ENSG00000008323,2.6876891304347827,2.22445,PLEKHG6,12,+,6310670,train
ENSG00000008324,2.9339517391304346,2.7959,SS18L2,3,+,42590838,train
ENSG00000008382,2.865316086956522,2.7418,MPND,19,+,4343545,train
ENSG00000008394,17.491943043478262,15.3031,MGST1,12,+,16347637,train
ENSG00000008405,5.66909652173913,5.3209,CRY1,12,-,107093525,train
ENSG00000008438,0.6537239130434782,0.55505,PGLYRP1,19,-,46023046,train
ENSG00000008441,6.112756086956522,4.2177500000000006,NFIX,19,+,12995400,train
ENSG00000008513,16.52464913043478,14.4845,ST3GAL1,8,-,133571909,train
ENSG00000008516,0.5237604347826087,0.4285,MMP25,16,+,3046553,train
ENSG00000008517,9.512697826086958,8.57885,IL32,16,+,3065625,train
ENSG00000008710,3.586981739130435,3.21035,PKD1,16,-,2091170,train
ENSG00000008735,0.8949304347826087,0.46255,MAPK8IP2,22,+,50600784,train
ENSG00000008838,8.078275652173913,7.6147,MED24,17,-,40054391,train
ENSG00000008853,10.967979565217393,7.3896,RHOBTB2,8,+,22999535,train
ENSG00000008869,12.328837826086955,12.1779,HEATR5B,2,-,37084302,train
ENSG00000008952,20.43843434782609,19.3713,SEC62,3,+,169966781,train
ENSG00000008988,68.5604347826087,64.6781,RPS20,8,-,56074502,train
ENSG00000009307,113.2531,112.55605,CSDE1,1,-,114757971,train
ENSG00000009335,17.703753043478258,17.025399999999998,UBE3C,7,+,157138912,train
ENSG00000009413,10.080283043478262,9.5284,REV3L,6,-,111483138,train
ENSG00000009694,2.166223913043478,0.6819500000000001,TENM1,X,-,124497143,train
ENSG00000009709,1.815177391304348,0.0212,PAX7,1,+,18630839,train
ENSG00000009724,0.995274347826087,0.88735,MASP2,1,-,11047232,train
ENSG00000009765,2.502077391304348,0.57845,IYD,6,+,150369004,train
ENSG00000009780,4.401876521739131,4.2378,FAM76A,1,+,27725945,train
ENSG00000009790,2.356294347826087,1.96925,TRAF3IP3,1,+,209756101,test
ENSG00000009830,2.798653913043478,2.5783,POMT2,14,-,77320855,train
ENSG00000009844,5.423794782608696,5.11595,VTA1,6,+,142147246,train
ENSG00000009950,0.4437752173913043,0.2838,MLXIPL,7,-,73624509,train
ENSG00000009954,27.315648695652172,26.32615,BAZ1B,7,-,73522280,train
ENSG00000010017,18.07070869565218,17.37375,RANBP9,6,-,13711818,train
ENSG00000010030,4.463953478260869,3.90075,ETV7,6,-,36387654,train
ENSG00000010072,3.8249691304347824,3.68535,SPRTN,1,+,231337104,train
ENSG00000010165,11.575957391304351,11.35875,METTL13,1,+,171781636,test
ENSG00000010219,2.091082173913043,2.0331,DYRK4,12,+,4604884,train
ENSG00000010244,18.333549565217396,18.1813,ZNF207,17,+,32350141,test
ENSG00000010256,28.090415217391307,26.24875,UQCRC1,3,-,48609626,train
ENSG00000010270,10.736933913043476,10.27465,STARD3NL,7,+,38178318,test
ENSG00000010278,34.76600347826087,31.6663,CD9,12,+,6200351,train
ENSG00000010282,0.5358604347826087,0.0365,HHATL,3,-,42702654,train
ENSG00000010292,12.472211304347828,10.24085,NCAPD2,12,+,6494087,train
ENSG00000010295,2.966936086956521,2.79655,IFFO1,12,-,6556034,train
ENSG00000010310,1.4273165217391304,1.17475,GIPR,19,+,45668206,train
ENSG00000010318,1.400821304347826,1.36265,PHF7,3,+,52410635,train
ENSG00000010319,1.2750904347826086,1.1447,SEMA3G,3,-,52445096,train
ENSG00000010322,10.873183913043478,10.2369,NISCH,3,+,52455590,train
ENSG00000010327,13.80356304347826,11.6612,STAB1,3,+,52495330,train
ENSG00000010361,2.300833478260869,2.17685,FUZ,19,-,49813260,valid
ENSG00000010379,0.1252613043478261,0.0781999999999999,SLC6A13,12,-,262828,train
ENSG00000010404,2.885652173913043,2.49375,IDS,X,-,149505274,train
ENSG00000010438,0.6404273913043478,0.20545,PRSS3,9,+,33750669,train
ENSG00000010539,2.036565217391304,1.98695,ZNF200,16,-,3235144,valid
ENSG00000010610,17.32593,15.78295,CD4,12,+,6789508,train
ENSG00000010626,3.649625652173913,3.1527,LRRC23,12,+,6904801,train
ENSG00000010671,4.890560000000001,4.49585,BTK,X,-,101386167,valid
ENSG00000010704,4.212243913043478,4.09,HFE,6,+,26087418,test
ENSG00000010803,10.620259565217392,9.87725,SCMH1,1,-,41242106,train
ENSG00000010810,9.66888304347826,8.605,FYN,6,-,111873419,train
ENSG00000010818,10.576765652173911,10.21185,HIVEP2,6,-,142945160,train
ENSG00000010932,1.4773734782608696,1.2416999999999998,FMO1,1,+,171248483,test
ENSG00000011007,15.070692608695651,13.8318,ELOA,1,+,23743448,train
ENSG00000011009,24.49759043478261,23.5245,LYPLA2,1,+,23791137,test
ENSG00000011021,4.041709565217391,3.81445,CLCN6,1,+,11806213,train
ENSG00000011028,15.884840869565217,14.0738,MRC2,17,+,62627660,train
ENSG00000011052,0.0,0.0,NME1-NME2,17,+,51166398,train
ENSG00000011083,0.1178699999999999,0.08825,SLC6A7,5,+,150190040,train
ENSG00000011105,6.291609130434782,5.577999999999999,TSPAN9,12,+,3077360,train
ENSG00000011114,6.91213652173913,6.591,BTBD7,14,-,93333014,train
ENSG00000011132,2.4472804347826083,2.3386500000000003,APBA3,19,-,3761620,train
ENSG00000011143,1.667063478260869,1.57855,MKS1,17,-,58219219,train
ENSG00000011198,5.7079,5.42005,ABHD5,3,+,43690928,train
ENSG00000011201,7.708257391304348,6.9342500000000005,ANOS1,X,-,8536936,valid
ENSG00000011243,7.004139130434782,6.75345,AKAP8L,19,-,15418979,train
ENSG00000011258,8.134742173913043,7.9392,MBTD1,17,-,51260031,train
ENSG00000011260,15.78102391304348,15.442,UTP18,17,+,51260520,test
ENSG00000011275,13.179074347826088,12.7717,RNF216,7,-,5781594,train
ENSG00000011295,10.77146,10.0584,TTC19,17,+,15999815,train
ENSG00000011304,19.874918260869567,18.8847,PTBP1,19,+,797443,train
ENSG00000011332,0.1086169565217391,0.069,DPF1,19,-,38229654,train
ENSG00000011347,4.427642608695652,2.78805,SYT7,11,-,61581011,train
ENSG00000011376,3.1506334782608696,2.99345,LARS2,3,+,45388555,train
ENSG00000011405,19.77833782608696,19.2224,PIK3C2A,11,-,17207933,train
ENSG00000011422,15.11203956521739,12.6773,PLAUR,19,-,43670158,train
ENSG00000011426,11.46113652173913,8.6106,ANLN,7,+,36389852,train
ENSG00000011451,2.309850434782609,2.23725,WIZ,19,-,15432673,train
ENSG00000011454,14.233389130434784,13.8487,RABGAP1,9,+,122941003,valid
ENSG00000011465,41.66489782608696,35.8643,DCN,12,-,91182784,train
ENSG00000011478,2.938696086956522,2.7089,QPCTL,19,+,45692637,train
ENSG00000011485,6.147209999999999,5.88955,PPP5C,19,+,46347063,train
ENSG00000011523,5.520562173913043,5.43055,CEP68,2,+,65056395,train
ENSG00000011566,13.891583043478263,13.5406,MAP4K3,2,-,39437264,train
ENSG00000011590,1.233851739130435,1.11195,ZBTB32,19,+,35713407,train
ENSG00000011600,48.093509130434775,45.52475,TYROBP,19,-,35908250,train
ENSG00000011638,19.551189565217392,18.3079,LDAF1,16,+,21158674,train
ENSG00000011677,0.3945565217391304,0.0231499999999999,GABRA3,X,-,152451274,train
ENSG00000012048,4.16701652173913,3.27055,BRCA1,17,-,43125355,train
ENSG00000012061,5.605380434782609,5.54965,ERCC1,19,-,45423868,train
ENSG00000012124,1.5923578260869564,1.04585,CD22,19,+,35329161,train
ENSG00000012171,5.3421134782608695,3.55165,SEMA3B,3,+,50269140,train
ENSG00000012174,3.249366956521739,3.1229,MBTPS2,X,+,21839599,train
ENSG00000012211,2.2258578260869566,2.059,PRICKLE3,X,-,49186325,train
ENSG00000012223,28.99798608695653,10.47165,LTF,3,-,46464897,train
ENSG00000012232,4.337524347826087,3.6259,EXTL3,8,+,28701487,train
ENSG00000012504,0.1626917391304347,0.01905,NR1H4,12,+,100473849,test
ENSG00000012660,37.40831304347826,36.20495,ELOVL5,6,-,53348902,train
ENSG00000012779,18.03874391304348,16.3249,ALOX5,10,+,45374204,train
ENSG00000012817,7.404512608695652,6.263999999999999,KDM5D,Y,-,19744708,train
ENSG00000012822,10.912567826086956,10.4514,CALCOCO1,12,-,53727431,valid
ENSG00000012963,9.73108695652174,8.86685,UBR7,14,+,93207229,train
ENSG00000012983,11.813308695652172,11.01105,MAP4K5,14,-,50532515,train
ENSG00000013016,3.573404347826087,3.4211,EHD3,2,+,31234144,train
ENSG00000013275,27.915539130434784,26.0528,PSMC4,19,+,39971155,train
ENSG00000013288,8.526090869565218,8.19555,MAN2B2,4,+,6575168,train
ENSG00000013293,0.0430630434782608,0.02065,SLC7A14,3,-,170585984,train
ENSG00000013297,0.4677773913043478,0.37065,CLDN11,3,+,170418854,train
ENSG00000013306,25.28366,23.2349,SLC25A39,17,-,44324776,train
ENSG00000013364,51.87024565217392,47.8704,MVP,16,+,29820436,train
ENSG00000013374,15.68240695652174,15.23535,NUB1,7,+,151341764,train
ENSG00000013375,10.65176347826087,10.23415,PGM3,6,-,83193214,train
ENSG00000013392,2.5345652173913047,2.3967,RWDD2A,6,+,83193342,train
ENSG00000013441,32.88754130434783,32.15365,CLK1,2,-,200864643,test
ENSG00000013503,5.011945217391305,4.79415,POLR3B,12,+,106357768,train
ENSG00000013523,6.279388695652173,5.8034,ANGEL1,14,-,76812810,train
ENSG00000013561,11.12806,10.8648,RNF14,5,+,141969075,train
ENSG00000013563,2.884870869565218,2.6355500000000003,DNASE1L1,X,-,154409198,train
ENSG00000013573,4.389489565217391,3.85855,DDX11,12,+,31073849,train
ENSG00000013583,4.886910434782608,4.6734,HEBP1,12,-,13000205,train
ENSG00000013588,53.76096043478261,44.3511,GPRC5A,12,+,12891554,train
ENSG00000013619,1.0003508695652172,0.76965,MAMLD1,X,+,150363257,train
ENSG00000013725,2.1921591304347827,1.8923,CD6,11,+,60971668,train
ENSG00000013810,4.252766086956522,3.4659000000000004,TACC3,4,+,1721470,train
ENSG00000014123,14.680858695652171,14.35055,UFL1,6,+,96521796,train
ENSG00000014138,0.97181,0.8852,POLA2,11,+,65261950,train
ENSG00000014164,4.439629565217391,4.0322,ZC3H3,8,-,143541425,train
ENSG00000014216,20.049126086956523,18.7408,CAPN1,11,+,65181920,train
ENSG00000014257,3.3230582608695647,2.73905,ACP3,3,+,132317407,train
ENSG00000014641,17.92071608695652,17.3666,MDH1,2,+,63588953,train
ENSG00000014824,15.481192173913044,15.1183,SLC30A9,4,+,41990496,train
ENSG00000014914,6.576235652173914,5.24845,MTMR11,1,-,149931481,train
ENSG00000014919,7.24596347826087,6.9068000000000005,COX15,10,-,99732071,train
ENSG00000015133,6.722123913043479,6.276199999999999,CCDC88C,14,-,91417806,train
ENSG00000015153,3.1643108695652176,3.0703500000000004,YAF2,12,-,42238214,train
ENSG00000015171,22.171515652173916,21.61315,ZMYND11,10,+,135430,train
ENSG00000015285,4.081984782608696,3.5532000000000004,WAS,X,+,48683780,train
ENSG00000015413,2.172174347826087,0.80815,DPEP1,16,+,89630263,train
ENSG00000015475,6.341388260869565,5.69895,BID,22,-,17774430,train
ENSG00000015479,3.108990869565217,2.97965,MATR3,5,+,139293728,train
ENSG00000015520,0.3788269565217391,0.0892,NPC1L1,7,-,44541262,train
ENSG00000015532,8.483624347826087,7.93305,XYLT2,17,+,50346099,valid
ENSG00000015568,0.0146343478260869,0.0132,RGPD5,2,+,109794295,train
